AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
123.26147,62.358,0.0017453171,825.35974,828.2581,0.0063613304,71.98191,54.51407,23.667885,59.718918,94.0,-0.004289987,118.91517,135.0,-0.27538,-0.047925532,968.88763,-0.5832437,0.77726054,-0.59843785,-145.74332,1.0098425,-0.24056558,2,0,0,0
123.11826,62.317085,-0.0017429279,824.4882,827.6896,-0.0063615087,71.98191,54.42835,23.708801,59.718918,94.0,-0.0035100004,118.91517,135.0,-0.26734397,0.046698928,968.96704,-0.58131784,0.7804557,-0.50066495,-144.55998,1.0057222,0.23455335,2,0,0,0
123.28192,62.358,0.0017405483,825.14795,828.0392,0.006361729,71.98191,54.48416,23.708801,59.718918,94.0,-0.011699976,118.91517,135.0,-0.251272,-0.04553225,968.8956,-0.5831584,0.7798017,-0.60508835,-145.72511,1.0090307,-0.22883421,2,0,0,0
123.40467,62.37846,-0.0017381782,824.7116,828.1089,-0.006361991,71.98191,54.432922,23.77018,59.73938,94.0,-0.0062400126,118.91517,135.0,-0.25381997,0.04442121,968.9609,-0.5813986,0.7801441,-0.47793177,-144.57893,1.0056638,0.22338723,2,0,0,0
123.54788,62.37846,0.0017358176,825.88983,827.98804,0.006362295,71.98191,54.444744,23.790634,59.73938,95.0,-0.0148199815,118.91517,135.0,-0.266952,-0.04336194,968.9015,-0.5830818,0.77988684,-0.5607968,-145.71509,1.0090581,-0.21819343,2,0,0,0
123.179634,62.37846,-0.0017334664,825.70105,828.2389,-0.00636264,71.98191,54.40726,23.790634,59.73938,94.0,-0.0038999936,118.91517,135.0,-0.261856,0.0423509,968.9539,-0.5814712,0.7787509,-0.46736506,-144.59796,1.0055022,0.21323557,2,0,0,0
123.22055,62.37846,0.0017311246,825.43994,828.5753,0.0063630263,71.98191,54.41744,23.77018,59.73938,94.0,-0.02340001,118.91517,135.0,-0.26205197,-0.041384883,968.9152,-0.5830129,0.7798812,-0.5645792,-145.69942,1.0082023,-0.20849793,2,0,0,0
121.952156,62.37846,-0.0017287921,824.8824,828.18933,-0.006363454,71.98191,54.353363,23.811096,59.73938,94.0,-0.012480022,118.91517,135.0,-0.27145997,0.040460948,968.94354,-0.5815367,0.7801414,-0.45392787,-144.61438,1.0069929,0.20396616,2,0,0,0
123.056885,62.37846,0.0017264689,825.1339,828.21344,0.0063639223,71.98191,54.414318,23.811096,59.718918,95.0,-0.07916999,118.91517,135.0,-0.07369597,-0.03957641,968.9227,-0.5829506,0.7798584,-0.58630705,-145.69183,1.0083528,-0.19962712,2,0,0,0
121.48162,62.37846,-0.0017241548,824.5436,827.91406,-0.0063644308,71.98191,54.360756,23.811096,59.73938,94.0,-0.07800001,118.91517,135.0,-0.07310797,0.038728815,968.9713,-0.58159596,0.7801666,-0.45469132,-144.63103,1.006865,0.19546877,2,0,0,0
